report	match_text
ar_2009.txt	Bangladesh. Bilateral relations were greatly strengthened with Prime Minister Sheikh Hasina’s visit to India in January 2010. India’s pledge of a line of credit of US$ 1 billion for infrastructure development in Bangaldesh and Prime Minister Hasina’s assurance that anti-India activity would not be allowed from the soil of Bangladesh were some of
ar_2009.txt	was further consolidated. Relations with Sri Lanka saw further development with India and Sri Lanka maintaining high-level interaction and with India’s offer of assistance of Rs. 500 crores for the relief, rehabilitation and resettlement of internally displaced persons belonging to the Tamil minority and long-term reconstruction of the war-ravaged regions of the country.
ar_2009.txt	strengthened further in several areas. India’s annual contribution to the United Nations Relief Agency for Palestinian Refugees in the Near East (UNRWA) was enhanced from US$ 20,000 to US$ 1 million. India has vital interests in the Gulf region where almost 4.5 million Indians live and work. While increasing our imports of oil and gas, India is taking active steps to strengthen relationship with the individual Gulf countries.
ar_2009.txt	the period, the US remained India’s one of India’s largest trading partners. The total volume of Indo-US bilateral trade in goods and services stood at US$ 59.8 billion during the period January-October 2009. India is strengthening its relations with Central Asian countries on the basis of historical and cultural linkages. Relations have not
ar_2009.txt	Prime Minister Dr. Manmohan Singh. India remains actively engaged in the task of reconstruction and development of Afghanistan. India’s bilateral assistance to Afghanistan has crossed US$ 1.3 billion (as against a pledge of US$ 1.2 billion). An intense focus of India’s foreign policy during the period has been the subject of climate change. India’s approach on the issue has always been
ar_2009.txt	during the visit outlines a range of areas for bilateral cooperation. Both sides agreed to enhance security cooperation, particularly against insurgent groups. India announced a US$ 1 billion Line of Credit for infrastructural development projects in Bangladesh, including railway infrastructure, coaches, locomotives, buses and dredging. Connectivity received a boost with India providing road
ar_2009.txt	crisis, both countries continued to interact constructively on global issues. China is now India’s largest trading partner with the total volume of bilateral trade being US$ 51.8 billion in 2008. The trade volume dipped slightly in 2009 to US$ 43.27 billion. signed during the visit. Prior to the visit, Foreign Minister of Bangladesh Dr. Dipu Moni visited India in September 2009 and Foreign Secretary Smt. Nirupama
ar_2009.txt	of mutual interest, thus maintaining the momentum of bilateral relations. Bilateral trade grew by 30.04% in 2008-09 in comparison to the previous year, and touched US$ 13.146 billion. Maldives: Bilateral relations between India and the Maldives continued to be strengthened by several high-level exchanges. President Mohammed Nasheed of the Maldives visited India in
ar_2009.txt	Nepal, Dr. Ram Baran Yadav, visited India from 15-18 February, 2010 during which four agreements/ MoUs were signed and a concessional line of credit of US$ 250 million and supply of some food items was announced. Commerce and Industry Minister of India (CIM), Shri Anand Sharma visited Nepal from 27-28, October 2009 during
ar_2009.txt	Government also facilitated visits to places of pilgrimage under the Protocol on Visits to Religious Shrines (1974). India’s bilateral trade with Pakistan in 2008-09 was US$ 1.78 billion. Quantitative studies estimate that potential for two way trade between India and Pakistan can exceed its rather unsatisfactory current level by ten times. On 1
ar_2009.txt	India has offered all possible assistance to help in relief, rehabilitation, early resettlement and longer-term reconstruction of Sri Lanka. Prime Minister announced an amount of Rs. 500 crores for relief and rehabilitation. An Indian field hospital functioned for six months from March-September 2009, and treated more than 50,000 patients. Indian assistance also included
ar_2009.txt	their development efforts. External Affairs Minister Shri S. M. Krishna announced an increase in our annual Grant-in-aid for each of the 14 PIF Countries from US$ 100,000 to US$ 125,000. India is cooperating extensively under ITEC partnership programme and has increased number of scholarship slots for countries of the region to about 350. Another
ar_2009.txt	relations have vast potential for growth. During former Prime Minister Abe’s visit in August 2007, it was agreed to work towards a trade target of US$ 20 billion by the year 2010. The pace of investments has picked up in recent years. As many as 627 Japanese companies are operating in India, against some 300 in 2005. Foreign Direct Investment (FDI) went up 10-fold last year compared to 2006. Japanese investment in India stood at US$ 5.22 billion surpassing its investment in China which was US$ 3.65 billion in 2008, and Japan stands as the sixth largest investor in India. For the sixth consecutive year India is the single largest recipient of Japanese Official Development Assistance (ODA). Cumulative commitment of Japanese ODA to India up to October 2009 is about Yen 2.9 trillion (approx. Rs. 113209.77 crores). For FY 2008-09, total ODA was Yen 236 billion (approx. US$ 2.5 billion or Rs. 11713 crores) which is an increase of 4.8% over the previous year and is 30% of Japan’s global ODA. East Asia In keeping with India’s “Look East
ar_2009.txt	Krishna. India-ROK cooperation in the field of defence and security continued apace. Bilateral trade between India and ROK showed a 39% growth in 2008, touching US$ 15.56 billion, thus surpassing the target of US$ 10 billion set by the two countries to be achieved by the year 2010. ROK President Lee Myung-bak paid a State visit to India from 24-27 January,
ar_2009.txt	12 November, 2007; (iv) Agreement on Cooperation in Peaceful Uses of Atomic Energy (initialed); (v) Programme of Cultural Exchanges for the Years 2010-12; and (vi) Dollar Agreement for extension of a Line of Credit of US$ 100 million by Exim Bank to Vnesheconombank for boosting export of Indian goods and technology products to Russia. Other important Ministerial visits from India included that of
ar_2009.txt	up joint ventures in downstream petrochemicals, fertilizer and energy intensive industries. India and Qatar signed an investment agreement in November 2009 to the tune of US$ 5 billion realizing the investment potential of the region. Similar understanding with Oman to the tune of US$ 100 million has been finalized. Investment and project partnership is the focal point in the year and second India-Arab investment project conclave was organized in February 2010
ar_2009.txt	than twenty business delegations from the region and beyond. Gulf region has emerged as our major trading partner after USA, with annual two-way trade nearing US$ 100 billion in 2009. UAE emerged as our largest trading partner. The region collectively hosts the largest expatriate Indian community exceeding 5 million with remittances estimated around US $ 30 billion per annum. Nearly 75% of our crude oil requirement is met from this region which plays a crucial role in our energy security. India and
ar_2009.txt	Syria. During the year, India significantly increased its annual contribution to the United Nations Relief Agency for Palestine Refugees in the Near East (UNRWA) from US$ 20,000 to US$ 1 million. Vice-President also visited Zambia, Malawi and Botswana from 5-11 January, 2010. MoS for External Affairs Dr. Shashi Tharoor went on bilateral visit to Mozambique from
ar_2009.txt	from 5-7 August, 2009. FICCI organized the “Namaskar Africa” conference and exhibition in Lagos from 14-15 January, 2010. Trade with Africa has gone up from US$ 5.5 billion in 2001-02 to more than US$ 39 billion in 2008-09. Minister of State for Health & Family Welfare, Shri Dinesh Trivedi visited Addis Ababa, Ethiopia (October) & the Speaker of Lok Sabha, Smt
ar_2009.txt	Tourism Minister Mr. Guillermo Plata paid an official visit to India from 10-11 November, 2009. The Indo-US bilateral trade in goods and services stood at US$ 69.4 billion in 2008. During the period, January-October 2009, India-US bilateral trade in goods stood at US$ 31.5 billion. India exported goods worth US$ 17.6 billion to the US and imported goods worth US$ 13.9 billion from USA during January-October 2009. India exported IT and IT enabled services worth US$ 28.3 billion in 2009. The US is one of the leading foreign investors in India. In other areas like nuclear energy, defence, education and high technology, both
ar_2009.txt	areas added. In all, a total of 14 agreements/MoUs were signed with the countries in the region during the year. Bilateral trade touched a record US$ 15.63 billion between India and LAC region during 2008-09, which accounts for 3.25% of India’s total external trade. The total Indian With Canada, as well, important initiatives
ar_2009.txt	such as a Civil Nuclear Agreement, a xii Introduction and Synopsis investments in the region, so far, either invested or committed to invest, is around US$ 11 billion. Indian business/industry associations, such as CII and FICCI have held series of business seminars to promote Indian trade and investments in the region. As part
ar_2009.txt	on 12 January, 2010, Government of India expressed its full support and cooperation to Haiti for its reconstruction. India has made a cash contribution of US$ 5 million to Haiti for emergency relief purposes. Minister of State Dr. Shashi Tharoor visited Haiti on 26 January, 2010 to personally convey our sympathies to the people and Government of Haiti. During the year, we have also extended humanitarian assistance to the tune of US$ 1.55 million to Ecuador, El Salvador, St. Lucia and Guatemala to help them to overcome disasters caused by natural calamities. As part of our cultural outreach programme,
